author.id,u_min,u_max,u_mean,u_std,Cat,is_retweet,Label,retweet
u2012,63,63,63,,Twitter_User,,u2012,
u2013,1,1,1,,Twitter_User,,u2013,
u2014,0,435,44.3,137.28,Twitter_User,,u2014,
u2015,0,0,0,,Twitter_User,,u2015,
u2016,0,0,0,,Twitter_User,,u2016,
u2017,0,0,0,,Twitter_User,,u2017,
u2018,0,0,0,,Twitter_User,,u2018,
u2019,0,0,0,,Twitter_User,,u2019,
u202,1,1,1,,Twitter_User,,u202,
u2020,0,231,27.79,61.73,Twitter_User,,u2020,
u2021,0,0,0,,Twitter_User,,u2021,
u2022,0,0,0,,Twitter_User,,u2022,
u2023,0,0,0,,Twitter_User,,u2023,
u2024,2,2,2,,Twitter_User,,u2024,
u2025,2888,2888,2888,,Twitter_User,,u2025,
u2026,1,1,1,0,Twitter_User,,u2026,
u2027,0,5,2.25,2.06,Twitter_User,,u2027,
u2028,0,0,0,,Twitter_User,,u2028,
u2029,63,63,63,,Twitter_User,,u2029,
u203,0,0,0,,Twitter_User,,u203,
u2030,961,961,961,,Twitter_User,,u2030,
u2031,0,0,0,0,Twitter_User,,u2031,
u2032,0,1,0.07,0.26,Twitter_User,,u2032,
u2033,0,0,0,,Twitter_User,,u2033,
u2034,0,0,0,,Twitter_User,,u2034,
u2035,0,0,0,,Twitter_User,,u2035,
